"File","LineNumber","Match","FileName"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V103__Reload_All_Missing_Traffic_Signs.sql","20","signs/danger_signs/A7b Versmalling langs rechts.png","A7b Versmalling langs rechts.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V135__Fix_A_Series_Image_URL_After_V130_Name_Swap.sql","39","signs/danger_signs/A7b Versmalling langs rechts.png","A7b Versmalling langs rechts.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V135__Fix_A_Series_Image_URL_After_V130_Name_Swap.sql","108","signs/danger_signs/A7b Versmalling langs rechts.png","A7b Versmalling langs rechts.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V143__Fix_A_Series_Sign_Names_And_Image_Swap.sql","130","signs/danger_signs/A7b Versmalling langs rechts.png","A7b Versmalling langs rechts.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V143__Fix_A_Series_Sign_Names_And_Image_Swap.sql","131","signs/danger_signs/A7b Versmalling langs rechts.png","A7b Versmalling langs rechts.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V143__Fix_A_Series_Sign_Names_And_Image_Swap.sql","161","signs/danger_signs/A7b Versmalling langs rechts.png","A7b Versmalling langs rechts.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V6__Add_All_Traffic_Signs.sql","560","signs/danger_signs/A7b.png","A7b.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V122__Fix_A_Series_Official_Names_And_Images.sql","66","signs/danger_signs/A7c Versmalling langs rechts.png","A7c Versmalling langs rechts.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V144__Enforce_Canonical_Danger_Signs_Filenames.sql","88","signs/danger_signs/A7c Versmalling recht.png","A7c Versmalling recht.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V144__Enforce_Canonical_Danger_Signs_Filenames.sql","89","signs/danger_signs/A7c Versmalling recht.png","A7c Versmalling recht.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V144__Enforce_Canonical_Danger_Signs_Filenames.sql","188","signs/danger_signs/A7c Versmalling recht.png","A7c Versmalling recht.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V6__Add_All_Traffic_Signs.sql","577","signs/danger_signs/A7c.png","A7c.png"
"C:\Users\haydar\Desktop\end_project\.claude\settings.local.json","58","signs/danger_signs/A9%20Beweegbare%20brug.png","A9%20Beweegbare%20brug.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V6__Add_All_Traffic_Signs.sql","594","signs/danger_signs/A9.png","A9.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V50__Fix_Traffic_Sign_Image_Paths.sql","6","signs/priority_signs/B1.png","B1.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V6__Add_All_Traffic_Signs.sql","614","signs/priority_signs/B1.png","B1.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V147__Fix_B_Series_Priority_Signs_Canonical_Names.sql","15","signs/priority_signs/B11 Einde voorrangsweg.png","B11 Einde voorrangsweg.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V147__Fix_B_Series_Priority_Signs_Canonical_Names.sql","16","signs/priority_signs/B11 Einde voorrangsweg.png","B11 Einde voorrangsweg.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V147__Fix_B_Series_Priority_Signs_Canonical_Names.sql","96","signs/B11 Einde voorrangsweg.png","B11 Einde voorrangsweg.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V6__Add_All_Traffic_Signs.sql","631","signs/priority_signs/B11.png","B11.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V147__Fix_B_Series_Priority_Signs_Canonical_Names.sql","21","signs/priority_signs/B15a Voorrang op de kruisende zijwegen.png","B15a Voorrang op de kruisende zijwegen.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V147__Fix_B_Series_Priority_Signs_Canonical_Names.sql","22","signs/priority_signs/B15a Voorrang op de kruisende zijwegen.png","B15a Voorrang op de kruisende zijwegen.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V147__Fix_B_Series_Priority_Signs_Canonical_Names.sql","101","signs/B15a Voorrang op de kruisende zijwegen.png","B15a Voorrang op de kruisende zijwegen.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V147__Fix_B_Series_Priority_Signs_Canonical_Names.sql","111","signs/B15a Voorrang op de kruisende zijwegen.png","B15a Voorrang op de kruisende zijwegen.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V6__Add_All_Traffic_Signs.sql","648","signs/priority_signs/B15a.png","B15a.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V147__Fix_B_Series_Priority_Signs_Canonical_Names.sql","27","signs/priority_signs/B15b Voorrang op kruisende zijweg.png","B15b Voorrang op kruisende zijweg.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V147__Fix_B_Series_Priority_Signs_Canonical_Names.sql","28","signs/priority_signs/B15b Voorrang op kruisende zijweg.png","B15b Voorrang op kruisende zijweg.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V147__Fix_B_Series_Priority_Signs_Canonical_Names.sql","116","signs/B15b Voorrang op kruisende zijweg.png","B15b Voorrang op kruisende zijweg.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V6__Add_All_Traffic_Signs.sql","665","signs/priority_signs/B15b.png","B15b.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V147__Fix_B_Series_Priority_Signs_Canonical_Names.sql","33","signs/priority_signs/B15c Voorrang op kruisende zijweg.png","B15c Voorrang op kruisende zijweg.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V147__Fix_B_Series_Priority_Signs_Canonical_Names.sql","34","signs/priority_signs/B15c Voorrang op kruisende zijweg.png","B15c Voorrang op kruisende zijweg.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V147__Fix_B_Series_Priority_Signs_Canonical_Names.sql","121","signs/B15c Voorrang op kruisende zijweg.png","B15c Voorrang op kruisende zijweg.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V6__Add_All_Traffic_Signs.sql","682","signs/priority_signs/B15c.png","B15c.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V147__Fix_B_Series_Priority_Signs_Canonical_Names.sql","39","signs/priority_signs/B15d Voorrang op kruisende zijweg.png","B15d Voorrang op kruisende zijweg.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V147__Fix_B_Series_Priority_Signs_Canonical_Names.sql","40","signs/priority_signs/B15d Voorrang op kruisende zijweg.png","B15d Voorrang op kruisende zijweg.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V147__Fix_B_Series_Priority_Signs_Canonical_Names.sql","126","signs/B15d Voorrang op kruisende zijweg.png","B15d Voorrang op kruisende zijweg.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V6__Add_All_Traffic_Signs.sql","699","signs/priority_signs/B15d.png","B15d.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V147__Fix_B_Series_Priority_Signs_Canonical_Names.sql","45","signs/priority_signs/B15e Voorrang op kruisende zijweg.png","B15e Voorrang op kruisende zijweg.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V147__Fix_B_Series_Priority_Signs_Canonical_Names.sql","46","signs/priority_signs/B15e Voorrang op kruisende zijweg.png","B15e Voorrang op kruisende zijweg.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V147__Fix_B_Series_Priority_Signs_Canonical_Names.sql","131","signs/B15e Voorrang op kruisende zijweg.png","B15e Voorrang op kruisende zijweg.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V6__Add_All_Traffic_Signs.sql","716","signs/priority_signs/B15e.png","B15e.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V147__Fix_B_Series_Priority_Signs_Canonical_Names.sql","51","signs/priority_signs/B15f Voorrang op kruisende zijweg.png","B15f Voorrang op kruisende zijweg.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V147__Fix_B_Series_Priority_Signs_Canonical_Names.sql","52","signs/priority_signs/B15f Voorrang op kruisende zijweg.png","B15f Voorrang op kruisende zijweg.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V147__Fix_B_Series_Priority_Signs_Canonical_Names.sql","136","signs/B15f Voorrang op kruisende zijweg.png","B15f Voorrang op kruisende zijweg.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V6__Add_All_Traffic_Signs.sql","733","signs/priority_signs/B15f.png","B15f.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V147__Fix_B_Series_Priority_Signs_Canonical_Names.sql","57","signs/priority_signs/B15g Voorrang op kruisende zijweg.png","B15g Voorrang op kruisende zijweg.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V147__Fix_B_Series_Priority_Signs_Canonical_Names.sql","58","signs/priority_signs/B15g Voorrang op kruisende zijweg.png","B15g Voorrang op kruisende zijweg.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V147__Fix_B_Series_Priority_Signs_Canonical_Names.sql","141","signs/B15g Voorrang op kruisende zijweg.png","B15g Voorrang op kruisende zijweg.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V6__Add_All_Traffic_Signs.sql","750","signs/priority_signs/B15g.png","B15g.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V147__Fix_B_Series_Priority_Signs_Canonical_Names.sql","63","signs/priority_signs/B17 Kruispunt waar de voorrang van rechts geldt.png","B17 Kruispunt waar de voorrang van rechts geldt.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V147__Fix_B_Series_Priority_Signs_Canonical_Names.sql","64","signs/priority_signs/B17 Kruispunt waar de voorrang van rechts geldt.png","B17 Kruispunt waar de voorrang van rechts geldt.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V147__Fix_B_Series_Priority_Signs_Canonical_Names.sql","146","signs/B17 Kruispunt waar de voorrang van rechts geldt.png","B17 Kruispunt waar de voorrang van rechts geldt.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V6__Add_All_Traffic_Signs.sql","767","signs/priority_signs/B17.png","B17.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V147__Fix_B_Series_Priority_Signs_Canonical_Names.sql","70","signs/priority_signs/B19 Smalle doorgang voorrang verlenen aan de bestuurders die uit de tegenovergestelde richting komen.png","B19 Smalle doorgang voorrang verlenen aan de bestuurders die uit de tegenovergestelde richting komen.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V147__Fix_B_Series_Priority_Signs_Canonical_Names.sql","71","signs/priority_signs/B19 Smalle doorgang voorrang verlenen aan de bestuurders die uit de tegenovergestelde richting komen.png","B19 Smalle doorgang voorrang verlenen aan de bestuurders die uit de tegenovergestelde richting komen.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V147__Fix_B_Series_Priority_Signs_Canonical_Names.sql","151","signs/B19 Smalle doorgang voorrang verlenen aan de bestuurders die uit de tegenovergestelde richting komen.png","B19 Smalle doorgang voorrang verlenen aan de bestuurders die uit de tegenovergestelde richting komen.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V6__Add_All_Traffic_Signs.sql","784","signs/priority_signs/B19.png","B19.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V147__Fix_B_Series_Priority_Signs_Canonical_Names.sql","77","signs/priority_signs/B21 Smalle doorgang voorrang ten opzichte van de bestuurders die uit de tegenovergestelde richting komen.png","B21 Smalle doorgang voorrang ten opzichte van de bestuurders die uit de tegenovergestelde richting komen.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V147__Fix_B_Series_Priority_Signs_Canonical_Names.sql","78","signs/priority_signs/B21 Smalle doorgang voorrang ten opzichte van de bestuurders die uit de tegenovergestelde richting komen.png","B21 Smalle doorgang voorrang ten opzichte van de bestuurders die uit de tegenovergestelde richting komen.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V147__Fix_B_Series_Priority_Signs_Canonical_Names.sql","156","signs/B21 Smalle doorgang voorrang ten opzichte van de bestuurders die uit de tegenovergestelde richting komen.png","B21 Smalle doorgang voorrang ten opzichte van de bestuurders die uit de tegenovergestelde richting komen.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V6__Add_All_Traffic_Signs.sql","801","signs/priority_signs/B21.png","B21.png"
